bias,mae,rmse,win_pct,vegas_win_pct,delta_pct,wins_vs_vegas,vegas_wins,ties
-8.0,14.7621,18.4519,30.82,69.18,-38.36,335,752,0
-7.9,14.7374,18.4258,31.0,69.0,-38.0,337,750,0
-7.8,14.713,18.4003,30.91,69.09,-38.18,336,751,0
-7.7,14.6891,18.3753,31.46,68.54,-37.08,342,745,0
-7.6,14.6658,18.3509,31.74,68.26,-36.52,345,742,0
-7.5,14.643,18.3269,31.83,68.17,-36.34,346,741,0
-7.4,14.6203,18.3034,31.83,68.17,-36.34,346,741,0
-7.3,14.5977,18.2805,31.83,68.17,-36.34,346,741,0
-7.2,14.5752,18.258,31.46,68.54,-37.08,342,745,0
-7.1,14.5534,18.2361,31.46,68.54,-37.08,342,745,0
-7.0,14.5321,18.2148,31.55,68.45,-36.9,343,744,0
-6.9,14.5111,18.1939,31.65,68.35,-36.7,344,743,0
-6.8,14.4903,18.1736,31.65,68.35,-36.7,344,743,0
-6.7,14.4698,18.1538,31.83,68.17,-36.34,346,741,0
-6.6,14.4496,18.1345,31.92,68.08,-36.16,347,740,0
-6.5,14.43,18.1158,32.01,67.99,-35.98,348,739,0
-6.4,14.4111,18.0976,32.11,67.89,-35.78,349,738,0
-6.3,14.3927,18.0799,31.92,68.08,-36.16,347,740,0
-6.2,14.3749,18.0627,32.38,67.62,-35.24,352,735,0
-6.1,14.3575,18.0461,32.38,67.62,-35.24,352,735,0
-6.0,14.3403,18.0301,32.57,67.43,-34.86,354,733,0
-5.9,14.3237,18.0146,32.75,67.25,-34.5,356,731,0
-5.8,14.3078,17.9996,32.66,67.34,-34.68,355,732,0
-5.7,14.2919,17.9852,32.66,67.34,-34.68,355,732,0
-5.6,14.2765,17.9713,32.75,67.25,-34.5,356,731,0
-5.5,14.2615,17.9579,32.75,67.25,-34.5,356,731,0
-5.4,14.2471,17.9451,32.57,67.43,-34.86,354,733,0
-5.3,14.233,17.9329,32.75,67.25,-34.5,356,731,0
-5.2,14.2193,17.9212,32.75,67.25,-34.5,356,731,0
-5.1,14.2059,17.91,32.57,67.43,-34.86,354,733,0
-5.0,14.193,17.8995,32.29,67.71,-35.42,351,736,0
-4.9,14.1808,17.8894,32.38,67.62,-35.24,352,735,0
-4.8,14.1688,17.8799,32.38,67.62,-35.24,352,735,0
-4.7,14.157,17.871,32.29,67.71,-35.42,351,736,0
-4.6,14.1455,17.8626,32.29,67.71,-35.42,351,736,0
-4.5,14.1345,17.8548,32.01,67.99,-35.98,348,739,0
-4.4,14.1239,17.8475,32.29,67.71,-35.42,351,736,0
-4.3,14.1143,17.8408,32.2,67.8,-35.6,350,737,0
-4.2,14.1049,17.8347,31.92,68.08,-36.16,347,740,0
-4.1,14.0964,17.8291,31.83,68.17,-36.34,346,741,0
-4.0,14.0884,17.8241,31.74,68.26,-36.52,345,742,0
-3.9,14.0809,17.8196,31.83,68.17,-36.34,346,741,0
-3.8,14.0737,17.8157,32.47,67.53,-35.06,353,734,0
-3.7,14.067,17.8123,32.2,67.8,-35.6,350,737,0
-3.6,14.0609,17.8095,32.38,67.62,-35.24,352,735,0
-3.5,14.0551,17.8073,32.38,67.62,-35.24,352,735,0
-3.4,14.0497,17.8056,32.66,67.34,-34.68,355,732,0
-3.3,14.0448,17.8045,32.47,67.53,-35.06,353,734,0
-3.2,14.04,17.804,32.84,67.16,-34.32,357,730,0
-3.1,14.0356,17.804,33.21,66.79,-33.58,361,726,0
-3.0,14.0318,17.8046,33.12,66.88,-33.76,360,727,0
-2.9,14.0287,17.8057,33.03,66.97,-33.94,359,728,0
-2.8,14.0258,17.8074,33.21,66.79,-33.58,361,726,0
-2.7,14.0232,17.8097,33.21,66.79,-33.58,361,726,0
-2.6,14.0208,17.8125,33.39,66.61,-33.22,363,724,0
-2.5,14.0188,17.8159,33.58,66.42,-32.84,365,722,0
-2.4,14.0172,17.8199,33.67,66.33,-32.66,366,721,0
-2.3,14.0166,17.8244,33.67,66.33,-32.66,366,721,0
-2.2,14.0165,17.8294,33.49,66.51,-33.02,364,723,0
-2.1,14.0169,17.835,33.95,66.05,-32.1,369,718,0
-2.0,14.0176,17.8412,33.85,66.15,-32.3,368,719,0
-1.9,14.0189,17.848,33.76,66.24,-32.48,367,720,0
-1.8,14.021,17.8553,33.67,66.33,-32.66,366,721,0
-1.7,14.0238,17.8631,33.67,66.33,-32.66,366,721,0
-1.6,14.027,17.8715,33.85,66.15,-32.3,368,719,0
-1.5,14.0307,17.8805,34.04,65.96,-31.92,370,717,0
-1.4,14.0346,17.89,33.95,66.05,-32.1,369,718,0
-1.3,14.039,17.9001,34.04,65.96,-31.92,370,717,0
-1.2,14.0439,17.9107,33.85,66.15,-32.3,368,719,0
-1.1,14.0494,17.9219,33.85,66.15,-32.3,368,719,0
-1.0,14.0554,17.9337,33.85,66.15,-32.3,368,719,0
-0.9,14.0618,17.9459,33.85,66.15,-32.3,368,719,0
-0.8,14.0684,17.9588,34.04,65.96,-31.92,370,717,0
-0.7,14.0753,17.9721,34.13,65.87,-31.74,371,716,0
-0.6,14.0831,17.9861,33.67,66.33,-32.66,366,721,0
-0.5,14.0918,18.0005,33.49,66.51,-33.02,364,723,0
-0.4,14.1007,18.0155,33.67,66.33,-32.66,366,721,0
-0.3,14.1102,18.0311,33.49,66.51,-33.02,364,723,0
-0.2,14.1204,18.0472,33.3,66.7,-33.4,362,725,0
-0.1,14.1315,18.0638,33.12,66.88,-33.76,360,727,0
0.0,14.143,18.081,33.39,66.61,-33.22,363,724,0
0.1,14.1548,18.0987,33.39,66.61,-33.22,363,724,0
0.2,14.1671,18.1169,33.03,66.97,-33.94,359,728,0
0.3,14.18,18.1357,33.21,66.79,-33.58,361,726,0
0.4,14.1935,18.155,33.21,66.79,-33.58,361,726,0
0.5,14.2072,18.1749,33.3,66.7,-33.4,362,725,0
0.6,14.2212,18.1952,33.85,66.15,-32.3,368,719,0
0.7,14.2355,18.2161,33.76,66.24,-32.48,367,720,0
0.8,14.2501,18.2375,33.67,66.33,-32.66,366,721,0
0.9,14.2652,18.2595,33.76,66.24,-32.48,367,720,0
1.0,14.2809,18.2819,34.13,65.87,-31.74,371,716,0
1.1,14.297,18.3049,33.85,66.15,-32.3,368,719,0
1.2,14.3137,18.3284,33.58,66.42,-32.84,365,722,0
1.3,14.3309,18.3524,33.49,66.51,-33.02,364,723,0
1.4,14.3484,18.3769,33.12,66.88,-33.76,360,727,0
1.5,14.3665,18.402,33.03,66.97,-33.94,359,728,0
1.6,14.3849,18.4275,33.12,66.88,-33.76,360,727,0
1.7,14.4037,18.4535,32.93,67.07,-34.14,358,729,0
1.8,14.4231,18.4801,33.39,66.61,-33.22,363,724,0
1.9,14.4429,18.5071,33.21,66.79,-33.58,361,726,0
2.0,14.463,18.5347,33.12,66.88,-33.76,360,727,0
2.1,14.4837,18.5628,33.12,66.88,-33.76,360,727,0
2.2,14.5048,18.5913,33.21,66.79,-33.58,361,726,0
2.3,14.5263,18.6203,33.3,66.7,-33.4,362,725,0
2.4,14.5482,18.6499,33.58,66.42,-32.84,365,722,0
2.5,14.5708,18.6799,33.49,66.51,-33.02,364,723,0
2.6,14.5936,18.7104,33.39,66.61,-33.22,363,724,0
2.7,14.6171,18.7414,33.3,66.7,-33.4,362,725,0
2.8,14.6407,18.7729,33.39,66.61,-33.22,363,724,0
2.9,14.6653,18.8048,33.03,66.97,-33.94,359,728,0
3.0,14.691,18.8372,32.93,67.07,-34.14,358,729,0
3.1,14.7176,18.8701,32.93,67.07,-34.14,358,729,0
3.2,14.7449,18.9035,32.84,67.16,-34.32,357,730,0
3.3,14.7723,18.9374,32.75,67.25,-34.5,356,731,0
3.4,14.7999,18.9717,32.75,67.25,-34.5,356,731,0
3.5,14.8281,19.0064,32.84,67.16,-34.32,357,730,0
3.6,14.8567,19.0417,32.75,67.25,-34.5,356,731,0
3.7,14.886,19.0774,32.57,67.43,-34.86,354,733,0
3.8,14.9154,19.1135,32.47,67.53,-35.06,353,734,0
3.9,14.945,19.1501,32.38,67.62,-35.24,352,735,0
4.0,14.9751,19.1872,32.75,67.25,-34.5,356,731,0
4.1,15.0056,19.2247,32.84,67.16,-34.32,357,730,0
4.2,15.0365,19.2626,32.66,67.34,-34.68,355,732,0
4.3,15.0683,19.301,32.47,67.53,-35.06,353,734,0
4.4,15.1008,19.3399,32.29,67.71,-35.42,351,736,0
4.5,15.1338,19.3791,32.29,67.71,-35.42,351,736,0
4.6,15.1675,19.4189,32.38,67.62,-35.24,352,735,0
4.7,15.2023,19.459,32.47,67.53,-35.06,353,734,0
4.8,15.2378,19.4996,32.57,67.43,-34.86,354,733,0
4.9,15.2737,19.5406,32.47,67.53,-35.06,353,734,0
5.0,15.3101,19.582,32.47,67.53,-35.06,353,734,0
5.1,15.3468,19.6238,32.66,67.34,-34.68,355,732,0
5.2,15.3836,19.6661,32.66,67.34,-34.68,355,732,0
5.3,15.4208,19.7088,32.47,67.53,-35.06,353,734,0
5.4,15.4586,19.7519,32.47,67.53,-35.06,353,734,0
5.5,15.4969,19.7954,32.38,67.62,-35.24,352,735,0
5.6,15.5356,19.8393,31.83,68.17,-36.34,346,741,0
5.7,15.575,19.8836,32.01,67.99,-35.98,348,739,0
5.8,15.6146,19.9284,31.46,68.54,-37.08,342,745,0
5.9,15.6545,19.9735,31.28,68.72,-37.44,340,747,0
6.0,15.6951,20.019,31.46,68.54,-37.08,342,745,0
